,tema,categoria,subcategoria,nombre,precio,colores,tallas,descripcion,imapcto
0,Hogar,Esenciales para tu hogar,Sábanas de algodón,Juego de sábanas · Algodón orgánico ,€70.00,[],[' 105x200']," 
Ropa de cama suave al tacto confeccionada con 100% algodón orgánico. Al emplear algodón orgánico reducimos el consumo de agua y energía, a la vez que evitamos la aplicación de químicos en terrenos de cultivo.
Confeccionados de forma consciente y sostenible en el norte de Portugal, en la ciudad de Fafe. Nuestro taller inició su actividad en el año 2000 y cuenta con certificado GOTS en hilo.
 
¿Qué incluye cada juego de sábanas?
105x200: 

Sábana bajera:  105 x 200 x 30 cm

Sábana encimera:  180 x 290 cm

x1 Fundas almohada:  50 x 70 cm


 
135x200:

Sábana bajera:  135 x 200 x 30 cm

Sábana encimera:   220 x 290 cm

x2 Fundas almohada:  50 x 70 cm



150x200:

Sábana bajera:  150 x 200 x 30 cm

Sábana encimera:  240 x 290 cm

x2 Fundas almohada:  50 x 70 cm


 
180x200:

Sábana bajera:  180 x 200 x 30 cm

Sábana encimera:  260 x 290 cm

x2 Fundas almohada:  50 x 70 cm


 
Información general

Colores: Blanco

Tejido: 200 hilos

¿Qué indica este número? La densidad y resistencia de la tela.  El número de hilos indica la cantidad de hilos por pulgada cuadrada.

 ",
1,Hogar,Esenciales para tu hogar,Sábanas de algodón,Juego de sábanas · Algodón orgánico ,€75.00,[],[' 135x200']," 
Ropa de cama suave al tacto confeccionada con 100% algodón orgánico. Al emplear algodón orgánico reducimos el consumo de agua y energía, a la vez que evitamos la aplicación de químicos en terrenos de cultivo.
Confeccionados de forma consciente y sostenible en el norte de Portugal, en la ciudad de Fafe. Nuestro taller inició su actividad en el año 2000 y cuenta con certificado GOTS en hilo.
 
¿Qué incluye cada juego de sábanas?
105x200: 

Sábana bajera:  105 x 200 x 30 cm

Sábana encimera:  180 x 290 cm

x1 Fundas almohada:  50 x 70 cm


 
135x200:

Sábana bajera:  135 x 200 x 30 cm

Sábana encimera:   220 x 290 cm

x2 Fundas almohada:  50 x 70 cm



150x200:

Sábana bajera:  150 x 200 x 30 cm

Sábana encimera:  240 x 290 cm

x2 Fundas almohada:  50 x 70 cm


 
180x200:

Sábana bajera:  180 x 200 x 30 cm

Sábana encimera:  260 x 290 cm

x2 Fundas almohada:  50 x 70 cm


 
Información general

Colores: Blanco

Tejido: 200 hilos

¿Qué indica este número? La densidad y resistencia de la tela.  El número de hilos indica la cantidad de hilos por pulgada cuadrada.

 ",
2,Hogar,Esenciales para tu hogar,Sábanas de algodón,Juego de sábanas · Algodón orgánico ,€85.00,[],[' 150x200']," 
Ropa de cama suave al tacto confeccionada con 100% algodón orgánico. Al emplear algodón orgánico reducimos el consumo de agua y energía, a la vez que evitamos la aplicación de químicos en terrenos de cultivo.
Confeccionados de forma consciente y sostenible en el norte de Portugal, en la ciudad de Fafe. Nuestro taller inició su actividad en el año 2000 y cuenta con certificado GOTS en hilo.
 
¿Qué incluye cada juego de sábanas?
105x200: 

Sábana bajera:  105 x 200 x 30 cm

Sábana encimera:  180 x 290 cm

x1 Fundas almohada:  50 x 70 cm


 
135x200:

Sábana bajera:  135 x 200 x 30 cm

Sábana encimera:   220 x 290 cm

x2 Fundas almohada:  50 x 70 cm



150x200:

Sábana bajera:  150 x 200 x 30 cm

Sábana encimera:  240 x 290 cm

x2 Fundas almohada:  50 x 70 cm


 
180x200:

Sábana bajera:  180 x 200 x 30 cm

Sábana encimera:  260 x 290 cm

x2 Fundas almohada:  50 x 70 cm


 
Información general

Colores: Blanco

Tejido: 200 hilos

¿Qué indica este número? La densidad y resistencia de la tela.  El número de hilos indica la cantidad de hilos por pulgada cuadrada.

 ",
3,Hogar,Esenciales para tu hogar,Sábanas de algodón,Juego de sábanas · Algodón orgánico ,€90.00,[],[' 180x200']," 
Ropa de cama suave al tacto confeccionada con 100% algodón orgánico. Al emplear algodón orgánico reducimos el consumo de agua y energía, a la vez que evitamos la aplicación de químicos en terrenos de cultivo.
Confeccionados de forma consciente y sostenible en el norte de Portugal, en la ciudad de Fafe. Nuestro taller inició su actividad en el año 2000 y cuenta con certificado GOTS en hilo.
 
¿Qué incluye cada juego de sábanas?
105x200: 

Sábana bajera:  105 x 200 x 30 cm

Sábana encimera:  180 x 290 cm

x1 Fundas almohada:  50 x 70 cm


 
135x200:

Sábana bajera:  135 x 200 x 30 cm

Sábana encimera:   220 x 290 cm

x2 Fundas almohada:  50 x 70 cm



150x200:

Sábana bajera:  150 x 200 x 30 cm

Sábana encimera:  240 x 290 cm

x2 Fundas almohada:  50 x 70 cm


 
180x200:

Sábana bajera:  180 x 200 x 30 cm

Sábana encimera:  260 x 290 cm

x2 Fundas almohada:  50 x 70 cm


 
Información general

Colores: Blanco

Tejido: 200 hilos

¿Qué indica este número? La densidad y resistencia de la tela.  El número de hilos indica la cantidad de hilos por pulgada cuadrada.

 ",
4,Hogar,Esenciales para tu hogar,Toallas de baño,Toalla lavabo · Algodón orgánico ,€9.00,['                   Blanco'],[],"
Toallas de rizo absorbente y suave al tacto confeccionada con 100% algodón orgánico. Al emplear algodón orgánico reducimos el consumo de agua y energía, a la vez que evitamos la aplicación de químicos en terrenos de cultivo.
Confeccionados de forma consciente y sostenible en el norte de Portugal, en la ciudad de Fafe. Nuestro taller inició su actividad en el año 2000 y cuenta con certificado GOTS en hilo.
 
Información general de la toalla:

Dimensiones: 50 x 100 cm (20 x 40 in)
Gramaje: 500 g/m²

Colores: Blanco y Marfil
",
5,Hogar,Esenciales para tu hogar,Toallas de baño,Toalla lavabo · Algodón orgánico ,€9.00,['                   Marfil'],[],"
Toallas de rizo absorbente y suave al tacto confeccionada con 100% algodón orgánico. Al emplear algodón orgánico reducimos el consumo de agua y energía, a la vez que evitamos la aplicación de químicos en terrenos de cultivo.
Confeccionados de forma consciente y sostenible en el norte de Portugal, en la ciudad de Fafe. Nuestro taller inició su actividad en el año 2000 y cuenta con certificado GOTS en hilo.
 
Información general de la toalla:

Dimensiones: 50 x 100 cm (20 x 40 in)
Gramaje: 500 g/m²

Colores: Blanco y Marfil
",
6,Hogar,Esenciales para tu hogar,Toallas de baño,Toalla de ducha · Algodón orgánico ,€17.00,['                   Blanco'],[],"Toallas de rizo absorbente y suave al tacto confeccionada con 100% algodón orgánico. Al emplear algodón orgánico reducimos el consumo de agua y energía, a la vez que evitamos la aplicación de químicos en terrenos de cultivo.
Confeccionados de forma consciente y sostenible en el norte de Portugal, en la ciudad de Fafe. Nuestro taller inició su actividad en el año 2000 y cuenta con certificado GOTS en hilo.
 
Información general de la toalla:

Dimensiones: 70 x 150 cm (28 x 60 in)
Gramaje: 500 g/m²

Colores: Blanco y Marfil

 
",
7,Hogar,Esenciales para tu hogar,Toallas de baño,Toalla de ducha · Algodón orgánico ,€17.00,['                   Marfil'],[],"Toallas de rizo absorbente y suave al tacto confeccionada con 100% algodón orgánico. Al emplear algodón orgánico reducimos el consumo de agua y energía, a la vez que evitamos la aplicación de químicos en terrenos de cultivo.
Confeccionados de forma consciente y sostenible en el norte de Portugal, en la ciudad de Fafe. Nuestro taller inició su actividad en el año 2000 y cuenta con certificado GOTS en hilo.
 
Información general de la toalla:

Dimensiones: 70 x 150 cm (28 x 60 in)
Gramaje: 500 g/m²

Colores: Blanco y Marfil

 
",
8,Hogar,Esenciales para tu hogar,Toallas de baño,Toallas baño pack mediano · Algodón orgánico,€24.00,[],[],"
Toallas de rizo absorbente y suave al tacto confeccionada con 100% algodón orgánico. Al emplear algodón orgánico reducimos el consumo de agua y energía, a la vez que evitamos la aplicación de químicos en terrenos de cultivo.
Confeccionados de forma consciente y sostenible en el norte de Portugal, en la ciudad de Fafe. Nuestro taller inició su actividad en el año 2000 y cuenta con certificado GOTS en hilo.
 
Información general de las toallas:

Dimensiones: 70 x 150 cm (28 x 60 in) +  50 x 100 cm (20 x 40 in)

Gramaje: 500 g/m²

Colores: Blanco y Marfil

 ",
9,Hogar,Esenciales para tu hogar,Toallas de baño,Gel sólido uso diario x3,€20.00,[],[],"Gel sólido de 80 g para uso diario con olor a lavanda fabricado de forma artesanal en Valencia. Este gel sólido será un básico perfecto para tu día a día. 
Está compuesto por aceite de coco con olor a lavanda. Mezclamos el aceite de coco con glicerina para que el tacto con tu piel sea perfecto.
Tanto la pastilla de gel como el embalaje con el que lo recibirás son 100% ecológicos y sin plásticos innecesarios.
 
Cómo usar:
Aplicar sobre la piel previamente humedecida con un ligero masaje, dejar actuar y retirar con abundante agua.
No aplicar sobre heridas abiertas. Evitar el contacto directo con los ojos. Noingerir.
 
Composición:
Sodium Cocoyl Isethionate, Cocamidopropyl Betaine, Cocos NuciferaOil, Aloe barbadensis Leaf Juice, Caprylic/capric Triglyceride, Butyrospermum ParkiiButter, Aqua, Glycerin, Argania spinosa kernel Oil, Maltodextrin, Mangifera IndicaSeed Butter, Malva sylvestris Flower Extract, Salvia officinalis Leaf Extract,Lavandula officinalis Flower Oil, Citric Acid, Benzyl Alcohol, Potassium Sorbate,
 ",
10,Hogar,Esenciales para tu hogar,Toallas de baño,Gel sólido uso diario x5,€30.00,[],[],"Gel sólido de 80 g para uso diario con olor a lavanda fabricado de forma artesanal en Valencia. Este gel sólido será un básico perfecto para tu día a día. 
Está compuesto por aceite de coco con olor a lavanda. Mezclamos el aceite de coco con glicerina para que el tacto con tu piel sea perfecto.
Tanto la pastilla de gel como el embalaje con el que lo recibirás son 100% ecológicos y sin plásticos innecesarios.
 
Cómo usar:
Aplicar sobre la piel previamente humedecida con un ligero masaje, dejar actuar y retirar con abundante agua.
No aplicar sobre heridas abiertas. Evitar el contacto directo con los ojos. Noingerir.
 
Composición:
Sodium Cocoyl Isethionate, Cocamidopropyl Betaine, Cocos NuciferaOil, Aloe barbadensis Leaf Juice, Caprylic/capric Triglyceride, Butyrospermum ParkiiButter, Aqua, Glycerin, Argania spinosa kernel Oil, Maltodextrin, Mangifera IndicaSeed Butter, Malva sylvestris Flower Extract, Salvia officinalis Leaf Extract,Lavandula officinalis Flower Oil, Citric Acid, Benzyl Alcohol, Potassium Sorbate,
 ",
11,Hogar,Esenciales para tu hogar,Toallas de baño,Gel sólido uso diario x7,€38.00,[],[],"Gel sólido de 80 g para uso diario con olor a lavanda fabricado de forma artesanal en Valencia. Este gel sólido será un básico perfecto para tu día a día. 
Está compuesto por aceite de coco con olor a lavanda. Mezclamos el aceite de coco con glicerina para que el tacto con tu piel sea perfecto.
Tanto la pastilla de gel como el embalaje con el que lo recibirás son 100% ecológicos y sin plásticos innecesarios.
 
Cómo usar:
Aplicar sobre la piel previamente humedecida con un ligero masaje, dejar actuar y retirar con abundante agua.
No aplicar sobre heridas abiertas. Evitar el contacto directo con los ojos. Noingerir.
 
Composición:
Sodium Cocoyl Isethionate, Cocamidopropyl Betaine, Cocos NuciferaOil, Aloe barbadensis Leaf Juice, Caprylic/capric Triglyceride, Butyrospermum ParkiiButter, Aqua, Glycerin, Argania spinosa kernel Oil, Maltodextrin, Mangifera IndicaSeed Butter, Malva sylvestris Flower Extract, Salvia officinalis Leaf Extract,Lavandula officinalis Flower Oil, Citric Acid, Benzyl Alcohol, Potassium Sorbate,
 ",
12,Hogar,Esenciales para tu hogar,Toallas de baño,Champú sólido uso diario x3,€20.00,[],[],"Champú sólido de 80 g para uso diario con olor a romero fabricado de forma artesanal en Valencia. Este champú sólido será un básico perfecto para tu día a día. 
Está compuesto por aceite de argán con olor a romero. Mezclamos el aceite de argán con glicerina para darle a tu cabello suavidad y brillo.
Tanto la pastilla de champú como el embalaje con el que lo recibirás son 100% ecológicos y sin plásticos innecesarios.
 
Cómo usar:
Aplicar sobre el cabello previamente humedecido con un ligero masaje, dejar actuar y retirar con abundante agua.
 
Composición:
Sodium Cocoyl Isethionate, Cocamidopropyl Betaine, Cocos Nucifera Oil, Aloe barbadensis Leaf Juice, Caprylic/capric Triglyceride, Butyrospermum Parkii Butter, Inulin, Argania spinosa kernel Oil, Camellia oleifera Seed Oil,Rosmarinus Officinalis Leaf Extract, Maltodextrin, Rosmarinus officinalis Flower Oil, Aqua, Glycerin, Citric Acid, Sodium Benzoate, Potassium Sorbate, Limonene, Linalool.
 ",
13,Hogar,Esenciales para tu hogar,Toallas de baño,Champú sólido uso diario x5,€30.00,[],[],"Champú sólido de 80 g para uso diario con olor a romero fabricado de forma artesanal en Valencia. Este champú sólido será un básico perfecto para tu día a día. 
Está compuesto por aceite de argán con olor a romero. Mezclamos el aceite de argán con glicerina para darle a tu cabello suavidad y brillo.
Tanto la pastilla de champú como el embalaje con el que lo recibirás son 100% ecológicos y sin plásticos innecesarios.
 
Cómo usar:
Aplicar sobre el cabello previamente humedecido con un ligero masaje, dejar actuar y retirar con abundante agua.
 
Composición:
Sodium Cocoyl Isethionate, Cocamidopropyl Betaine, Cocos Nucifera Oil, Aloe barbadensis Leaf Juice, Caprylic/capric Triglyceride, Butyrospermum Parkii Butter, Inulin, Argania spinosa kernel Oil, Camellia oleifera Seed Oil,Rosmarinus Officinalis Leaf Extract, Maltodextrin, Rosmarinus officinalis Flower Oil, Aqua, Glycerin, Citric Acid, Sodium Benzoate, Potassium Sorbate, Limonene, Linalool.
 ",
14,Hogar,Esenciales para tu hogar,Toallas de baño,Champú sólido uso diario x7,€38.00,[],[],"Champú sólido de 80 g para uso diario con olor a romero fabricado de forma artesanal en Valencia. Este champú sólido será un básico perfecto para tu día a día. 
Está compuesto por aceite de argán con olor a romero. Mezclamos el aceite de argán con glicerina para darle a tu cabello suavidad y brillo.
Tanto la pastilla de champú como el embalaje con el que lo recibirás son 100% ecológicos y sin plásticos innecesarios.
 
Cómo usar:
Aplicar sobre el cabello previamente humedecido con un ligero masaje, dejar actuar y retirar con abundante agua.
 
Composición:
Sodium Cocoyl Isethionate, Cocamidopropyl Betaine, Cocos Nucifera Oil, Aloe barbadensis Leaf Juice, Caprylic/capric Triglyceride, Butyrospermum Parkii Butter, Inulin, Argania spinosa kernel Oil, Camellia oleifera Seed Oil,Rosmarinus Officinalis Leaf Extract, Maltodextrin, Rosmarinus officinalis Flower Oil, Aqua, Glycerin, Citric Acid, Sodium Benzoate, Potassium Sorbate, Limonene, Linalool.
 ",
15,Hogar,Esenciales para tu hogar,Gel de ducha sólido,Gel sólido uso diario x3,€20.00,[],[],"Gel sólido de 80 g para uso diario con olor a lavanda fabricado de forma artesanal en Valencia. Este gel sólido será un básico perfecto para tu día a día. 
Está compuesto por aceite de coco con olor a lavanda. Mezclamos el aceite de coco con glicerina para que el tacto con tu piel sea perfecto.
Tanto la pastilla de gel como el embalaje con el que lo recibirás son 100% ecológicos y sin plásticos innecesarios.
 
Cómo usar:
Aplicar sobre la piel previamente humedecida con un ligero masaje, dejar actuar y retirar con abundante agua.
No aplicar sobre heridas abiertas. Evitar el contacto directo con los ojos. Noingerir.
 
Composición:
Sodium Cocoyl Isethionate, Cocamidopropyl Betaine, Cocos NuciferaOil, Aloe barbadensis Leaf Juice, Caprylic/capric Triglyceride, Butyrospermum ParkiiButter, Aqua, Glycerin, Argania spinosa kernel Oil, Maltodextrin, Mangifera IndicaSeed Butter, Malva sylvestris Flower Extract, Salvia officinalis Leaf Extract,Lavandula officinalis Flower Oil, Citric Acid, Benzyl Alcohol, Potassium Sorbate,
 ",
16,Hogar,Esenciales para tu hogar,Gel de ducha sólido,Gel sólido uso diario x5,€30.00,[],[],"Gel sólido de 80 g para uso diario con olor a lavanda fabricado de forma artesanal en Valencia. Este gel sólido será un básico perfecto para tu día a día. 
Está compuesto por aceite de coco con olor a lavanda. Mezclamos el aceite de coco con glicerina para que el tacto con tu piel sea perfecto.
Tanto la pastilla de gel como el embalaje con el que lo recibirás son 100% ecológicos y sin plásticos innecesarios.
 
Cómo usar:
Aplicar sobre la piel previamente humedecida con un ligero masaje, dejar actuar y retirar con abundante agua.
No aplicar sobre heridas abiertas. Evitar el contacto directo con los ojos. Noingerir.
 
Composición:
Sodium Cocoyl Isethionate, Cocamidopropyl Betaine, Cocos NuciferaOil, Aloe barbadensis Leaf Juice, Caprylic/capric Triglyceride, Butyrospermum ParkiiButter, Aqua, Glycerin, Argania spinosa kernel Oil, Maltodextrin, Mangifera IndicaSeed Butter, Malva sylvestris Flower Extract, Salvia officinalis Leaf Extract,Lavandula officinalis Flower Oil, Citric Acid, Benzyl Alcohol, Potassium Sorbate,
 ",
17,Hogar,Esenciales para tu hogar,Gel de ducha sólido,Gel sólido uso diario x7,€38.00,[],[],"Gel sólido de 80 g para uso diario con olor a lavanda fabricado de forma artesanal en Valencia. Este gel sólido será un básico perfecto para tu día a día. 
Está compuesto por aceite de coco con olor a lavanda. Mezclamos el aceite de coco con glicerina para que el tacto con tu piel sea perfecto.
Tanto la pastilla de gel como el embalaje con el que lo recibirás son 100% ecológicos y sin plásticos innecesarios.
 
Cómo usar:
Aplicar sobre la piel previamente humedecida con un ligero masaje, dejar actuar y retirar con abundante agua.
No aplicar sobre heridas abiertas. Evitar el contacto directo con los ojos. Noingerir.
 
Composición:
Sodium Cocoyl Isethionate, Cocamidopropyl Betaine, Cocos NuciferaOil, Aloe barbadensis Leaf Juice, Caprylic/capric Triglyceride, Butyrospermum ParkiiButter, Aqua, Glycerin, Argania spinosa kernel Oil, Maltodextrin, Mangifera IndicaSeed Butter, Malva sylvestris Flower Extract, Salvia officinalis Leaf Extract,Lavandula officinalis Flower Oil, Citric Acid, Benzyl Alcohol, Potassium Sorbate,
 ",
18,Hogar,Esenciales para tu hogar,Champú sólido,Champú sólido uso diario x3,€20.00,[],[],"Champú sólido de 80 g para uso diario con olor a romero fabricado de forma artesanal en Valencia. Este champú sólido será un básico perfecto para tu día a día. 
Está compuesto por aceite de argán con olor a romero. Mezclamos el aceite de argán con glicerina para darle a tu cabello suavidad y brillo.
Tanto la pastilla de champú como el embalaje con el que lo recibirás son 100% ecológicos y sin plásticos innecesarios.
 
Cómo usar:
Aplicar sobre el cabello previamente humedecido con un ligero masaje, dejar actuar y retirar con abundante agua.
 
Composición:
Sodium Cocoyl Isethionate, Cocamidopropyl Betaine, Cocos Nucifera Oil, Aloe barbadensis Leaf Juice, Caprylic/capric Triglyceride, Butyrospermum Parkii Butter, Inulin, Argania spinosa kernel Oil, Camellia oleifera Seed Oil,Rosmarinus Officinalis Leaf Extract, Maltodextrin, Rosmarinus officinalis Flower Oil, Aqua, Glycerin, Citric Acid, Sodium Benzoate, Potassium Sorbate, Limonene, Linalool.
 ",
19,Hogar,Esenciales para tu hogar,Champú sólido,Champú sólido uso diario x5,€30.00,[],[],"Champú sólido de 80 g para uso diario con olor a romero fabricado de forma artesanal en Valencia. Este champú sólido será un básico perfecto para tu día a día. 
Está compuesto por aceite de argán con olor a romero. Mezclamos el aceite de argán con glicerina para darle a tu cabello suavidad y brillo.
Tanto la pastilla de champú como el embalaje con el que lo recibirás son 100% ecológicos y sin plásticos innecesarios.
 
Cómo usar:
Aplicar sobre el cabello previamente humedecido con un ligero masaje, dejar actuar y retirar con abundante agua.
 
Composición:
Sodium Cocoyl Isethionate, Cocamidopropyl Betaine, Cocos Nucifera Oil, Aloe barbadensis Leaf Juice, Caprylic/capric Triglyceride, Butyrospermum Parkii Butter, Inulin, Argania spinosa kernel Oil, Camellia oleifera Seed Oil,Rosmarinus Officinalis Leaf Extract, Maltodextrin, Rosmarinus officinalis Flower Oil, Aqua, Glycerin, Citric Acid, Sodium Benzoate, Potassium Sorbate, Limonene, Linalool.
 ",
20,Hogar,Esenciales para tu hogar,Champú sólido,Champú sólido uso diario x7,€38.00,[],[],"Champú sólido de 80 g para uso diario con olor a romero fabricado de forma artesanal en Valencia. Este champú sólido será un básico perfecto para tu día a día. 
Está compuesto por aceite de argán con olor a romero. Mezclamos el aceite de argán con glicerina para darle a tu cabello suavidad y brillo.
Tanto la pastilla de champú como el embalaje con el que lo recibirás son 100% ecológicos y sin plásticos innecesarios.
 
Cómo usar:
Aplicar sobre el cabello previamente humedecido con un ligero masaje, dejar actuar y retirar con abundante agua.
 
Composición:
Sodium Cocoyl Isethionate, Cocamidopropyl Betaine, Cocos Nucifera Oil, Aloe barbadensis Leaf Juice, Caprylic/capric Triglyceride, Butyrospermum Parkii Butter, Inulin, Argania spinosa kernel Oil, Camellia oleifera Seed Oil,Rosmarinus Officinalis Leaf Extract, Maltodextrin, Rosmarinus officinalis Flower Oil, Aqua, Glycerin, Citric Acid, Sodium Benzoate, Potassium Sorbate, Limonene, Linalool.
 ",
